recommendation,empirical_novelty_and_significance,technical_novelty_and_significance,correctness,url,review_id
6,2,2,3,https://openreview.net/forum?id=ztgT8Iok130,YpFe6UMejWg
5,2,2,2,https://openreview.net/forum?id=ztgT8Iok130,Pkt-3_ra1t8
6,3,3,2,https://openreview.net/forum?id=zt53IDUR1U,4FZPXBTt6q
8,3,4,4,https://openreview.net/forum?id=zt53IDUR1U,DjRQfn9-Tw
6,3,3,3,https://openreview.net/forum?id=zt53IDUR1U,bS2ow8MJMEx
8,3,3,4,https://openreview.net/forum?id=zqwryBoXYnh,AnYgpOo3eFK
8,3,3,3,https://openreview.net/forum?id=zqwryBoXYnh,NMym3dMSTqG
6,2,4,4,https://openreview.net/forum?id=zqwryBoXYnh,ZJWrpmtRCLg
8,4,4,4,https://openreview.net/forum?id=zqwryBoXYnh,iqLVJnLeyox
10,4,4,4,https://openreview.net/forum?id=zqkfJA6R1-r,vEe9avPUbE7
6,3,3,3,https://openreview.net/forum?id=zqkfJA6R1-r,l_79cQw-kOk
8,3,3,3,https://openreview.net/forum?id=zqkfJA6R1-r,Tk9qSV7YeC
8,3,2,3,https://openreview.net/forum?id=zoz7Ze4STUL,RN2OYkv_roL
5,2,2,2,https://openreview.net/forum?id=zoz7Ze4STUL,Dm2v-e2C38
8,3,3,3,https://openreview.net/forum?id=zoz7Ze4STUL,PX5BTgqvVV
6,3,3,4,https://openreview.net/forum?id=zoz7Ze4STUL,hJm4d6cIcA
6,3,2,4,https://openreview.net/forum?id=zoTUH3Fjup,6x2-7Vs2nU0
5,2,2,3,https://openreview.net/forum?id=zoTUH3Fjup,ABw-YU-sqt
8,3,3,4,https://openreview.net/forum?id=zoTUH3Fjup,kW5FVkXCKV
8,3,3,3,https://openreview.net/forum?id=znLlSgN-4S0,8DLXPvmq-7
6,3,3,2,https://openreview.net/forum?id=znLlSgN-4S0,3p0T6wFwc0
6,3,3,3,https://openreview.net/forum?id=znLlSgN-4S0,WbD237KF0wP
5,2,2,4,https://openreview.net/forum?id=znLlSgN-4S0,BTDJU-CE22
5,2,2,2,https://openreview.net/forum?id=zlwBI2gQL3K,TkMmnUv68jI
5,3,2,3,https://openreview.net/forum?id=zlwBI2gQL3K,Ue83y3aTZ0v
8,3,3,4,https://openreview.net/forum?id=zlwBI2gQL3K,N61sE5n3ZKg
6,3,3,3,https://openreview.net/forum?id=zlwBI2gQL3K,njBG88-OAz
6,3,3,3,https://openreview.net/forum?id=zlbci7019Z3,wGgRt1YA0Ak
8,3,3,4,https://openreview.net/forum?id=zlbci7019Z3,MkAmHyCWF-1
5,3,3,3,https://openreview.net/forum?id=zlbci7019Z3,a9NYmRyMM7e
5,3,2,2,https://openreview.net/forum?id=zjSeBTEdXp1,bQV9VleRaN3
3,2,2,3,https://openreview.net/forum?id=zjSeBTEdXp1,t9q7LF5_9b
5,2,3,3,https://openreview.net/forum?id=zjSeBTEdXp1,1EyS9U3Rku
6,3,3,3,https://openreview.net/forum?id=zgVDqw9ZUES,DBjMlgCEH8
8,Not applicabl,3,3,https://openreview.net/forum?id=zgVDqw9ZUES,QEyOx16ag9
5,3,3,4,https://openreview.net/forum?id=zgVDqw9ZUES,xP_d7SQdntd
8,Not applicabl,3,3,https://openreview.net/forum?id=zgVDqw9ZUES,42xPUvJoxo
5,2,3,2,https://openreview.net/forum?id=zfodIZGVWW,7V-WrBk7Ha
3,3,2,2,https://openreview.net/forum?id=zfodIZGVWW,7YzRdPMyyb
5,3,3,2,https://openreview.net/forum?id=zfodIZGVWW,846anjxQl3E
6,3,2,3,https://openreview.net/forum?id=zfiYcbeQkH,NZac4_IDVY
8,3,3,4,https://openreview.net/forum?id=zfiYcbeQkH,POSOW6sPRC
3,2,1,3,https://openreview.net/forum?id=zfiYcbeQkH,196nCVxVANN
6,3,2,3,https://openreview.net/forum?id=zfiYcbeQkH,AKYRUOCmpRh
5,3,3,2,https://openreview.net/forum?id=zaq4LV55xHl,g1K5Zw0Xg3-
6,4,2,3,https://openreview.net/forum?id=zaq4LV55xHl,ARC1sind0m
6,2,2,4,https://openreview.net/forum?id=zaq4LV55xHl,DKa3UYb7UJH
6,2,2,2,https://openreview.net/forum?id=zaq4LV55xHl,5RgMdOh14H
3,2,2,3,https://openreview.net/forum?id=zaEiQ2dgLv,wCX5q24DuCt
3,1,2,3,https://openreview.net/forum?id=zaEiQ2dgLv,dkor_LxoGe
6,3,3,3,https://openreview.net/forum?id=zaEiQ2dgLv,f3udTp91rgT
5,Not applicabl,3,3,https://openreview.net/forum?id=zaEiQ2dgLv,dITOfJEIvwb
6,2,2,4,https://openreview.net/forum?id=zZhX4eYNeeh,gpJCYLB8OD
6,3,3,3,https://openreview.net/forum?id=zZhX4eYNeeh,rEAZkynppUI
3,Not applicabl,2,4,https://openreview.net/forum?id=zZhX4eYNeeh,IevM--xOX43
6,Not applicabl,3,4,https://openreview.net/forum?id=zZhX4eYNeeh,KW_Q9Onkgkr
6,3,3,3,https://openreview.net/forum?id=zZXztocaN9,FwfYbEQjvK
5,3,3,4,https://openreview.net/forum?id=zZXztocaN9,erH2qh1Pia
5,2,2,3,https://openreview.net/forum?id=zZXztocaN9,XL1b8aAVLUf
6,2,3,3,https://openreview.net/forum?id=zZXwDQFxwib,MaGyeOw8c6
5,3,2,1,https://openreview.net/forum?id=zZXwDQFxwib,7sQGrJnkB0
5,2,2,3,https://openreview.net/forum?id=zZXwDQFxwib,ZDSS5JMK3jr
6,3,3,3,https://openreview.net/forum?id=zZXwDQFxwib,qAX-74nV46
5,2,2,4,https://openreview.net/forum?id=zYWtq_HUCoi,IRPdz3ndsf
5,3,2,3,https://openreview.net/forum?id=zYWtq_HUCoi,cXRqrLbdA3N
6,2,2,3,https://openreview.net/forum?id=zYWtq_HUCoi,ycvUqVLx6jK
8,3,3,4,https://openreview.net/forum?id=zWy7dqOcel,X6xT9mcM8nJ
6,2,3,4,https://openreview.net/forum?id=zWy7dqOcel,nFoQctvoZNE
8,3,3,3,https://openreview.net/forum?id=zWy7dqOcel,uBQrbld-0kp
5,3,3,3,https://openreview.net/forum?id=zWy7dqOcel,aVte0WGeiE
3,1,1,2,https://openreview.net/forum?id=zWwrB9wenY1U,YwePGKPyk0w
5,2,2,4,https://openreview.net/forum?id=zWwrB9wenY1U,zTSZoyFljL
3,2,2,2,https://openreview.net/forum?id=zWwrB9wenY1U,tDOOMcljf7F
5,1,2,3,https://openreview.net/forum?id=zWwrB9wenY1U,cxNnaot8wA5
5,3,3,3,https://openreview.net/forum?id=zWudXc9343,_DbCKvaW0V
6,3,3,4,https://openreview.net/forum?id=zWudXc9343,wHC2H06vaqS
5,2,2,3,https://openreview.net/forum?id=zWudXc9343,IljDeqobRS
5,2,2,3,https://openreview.net/forum?id=zWudXc9343,7bowM2N8Ts
6,3,2,4,https://openreview.net/forum?id=zVrw4OH1Lch,XSyjiTOTHn
6,3,3,3,https://openreview.net/forum?id=zVrw4OH1Lch,g87trcy4P4
6,2,2,3,https://openreview.net/forum?id=zVrw4OH1Lch,8bY0qFXicXo
5,2,2,4,https://openreview.net/forum?id=zV3Q0a8--A,nH3kA7yZk0
5,3,3,3,https://openreview.net/forum?id=zV3Q0a8--A,hc_BUFLm0rW
5,2,2,3,https://openreview.net/forum?id=zV3Q0a8--A,6YGF0XDVLHd
3,Not applicabl,3,3,https://openreview.net/forum?id=zV3Q0a8--A,lA0v01DyaM
5,2,2,3,https://openreview.net/forum?id=zU8O5w0Wnh1,7MGJpRPJUK
5,3,3,3,https://openreview.net/forum?id=zU8O5w0Wnh1,zPQJbYqgen
6,3,2,3,https://openreview.net/forum?id=zU8O5w0Wnh1,0CJxoPhwhl
6,4,4,4,https://openreview.net/forum?id=zU8O5w0Wnh1,CFqW8uu41f
3,2,2,1,https://openreview.net/forum?id=zT5T9gHpGI,m0r5xkpVmSb
6,3,3,4,https://openreview.net/forum?id=zT5T9gHpGI,59hAmE1V70
6,3,3,3,https://openreview.net/forum?id=zT5T9gHpGI,YO2JIEvW5X
8,3,3,4,https://openreview.net/forum?id=zS9sRyaPFlJ,b_tuNORuj1
8,3,4,3,https://openreview.net/forum?id=zS9sRyaPFlJ,MAtcORzpyKd
5,3,3,3,https://openreview.net/forum?id=zS9sRyaPFlJ,N2pL2d8q-Ll
3,2,2,3,https://openreview.net/forum?id=zS9sRyaPFlJ,8F56OJncCjQ
8,3,3,4,https://openreview.net/forum?id=zQWqV2tzDv,KQS4XwU5uf
3,1,2,2,https://openreview.net/forum?id=zQWqV2tzDv,v_NnK55mCv-
6,2,3,4,https://openreview.net/forum?id=zQWqV2tzDv,0-KXEL-KB0
6,3,3,4,https://openreview.net/forum?id=zQWqV2tzDv,SoYBQ-r0QMV
5,3,2,4,https://openreview.net/forum?id=zOHQGKO3WGY,JR2Y3b0cw4q
8,4,3,4,https://openreview.net/forum?id=zOHQGKO3WGY,Tz7l725teH
3,2,2,4,https://openreview.net/forum?id=zOHQGKO3WGY,m5fMHP8VBA
5,2,2,3,https://openreview.net/forum?id=zOHQGKO3WGY,NCPA-Pufkcv
3,2,1,3,https://openreview.net/forum?id=zNq-jISUm7E,ka4kKp-Pib
3,1,1,3,https://openreview.net/forum?id=zNq-jISUm7E,a_yJEItXh9
6,3,3,4,https://openreview.net/forum?id=zNq-jISUm7E,VGaPHQiYZR
5,3,2,4,https://openreview.net/forum?id=zNq-jISUm7E,Mu9YfN7iiVB
1,1,1,2,https://openreview.net/forum?id=zNQ0IywxSuU,YZ1hxR4Sqh
1,Not applicabl,1,1,https://openreview.net/forum?id=zNQ0IywxSuU,2E3qVtv6ID
3,1,1,2,https://openreview.net/forum?id=zNQ0IywxSuU,etiisn_tdB
6,3,3,3,https://openreview.net/forum?id=zKvm1ETDOq,iSy_AtO6Ohp
8,3,3,4,https://openreview.net/forum?id=zKvm1ETDOq,tyaI1J1Fqaq
10,3,4,4,https://openreview.net/forum?id=zKvm1ETDOq,TY14AUQIRz
6,4,3,3,https://openreview.net/forum?id=zKvm1ETDOq,FVwtM64_YB
6,3,3,4,https://openreview.net/forum?id=zJXg_Wmob03,c1BQmrwv4Ci
8,Not applicabl,4,3,https://openreview.net/forum?id=zJXg_Wmob03,xPdHONz4nU
6,3,3,3,https://openreview.net/forum?id=zJXg_Wmob03,YaLlc5qiK7
3,1,1,2,https://openreview.net/forum?id=zHSaBQtj-l,sa8JZbmj0Mx
3,2,2,3,https://openreview.net/forum?id=zHSaBQtj-l,CUm5beNa-8F
5,2,2,3,https://openreview.net/forum?id=zHSaBQtj-l,f0vl_YPMTk
5,1,3,4,https://openreview.net/forum?id=zHSaBQtj-l,daUTibIM2k
5,3,3,3,https://openreview.net/forum?id=zH9GcZ3ZGXu,ePJrO_SxC1L
5,2,2,2,https://openreview.net/forum?id=zH9GcZ3ZGXu,Hv0dqWx3FF
6,Not applicabl,3,2,https://openreview.net/forum?id=zH9GcZ3ZGXu,ht_Zo5uJqUO
6,2,2,2,https://openreview.net/forum?id=zH9GcZ3ZGXu,mYtFhMjCf4
3,Not applicabl,3,3,https://openreview.net/forum?id=zGy_wqpRGTa,ip8nXv5pq4A
8,4,4,4,https://openreview.net/forum?id=zGy_wqpRGTa,xTknPs8pBq
6,4,4,4,https://openreview.net/forum?id=zGy_wqpRGTa,dpccwgqE96F
3,Not applicabl,3,3,https://openreview.net/forum?id=zGy_wqpRGTa,BNH1NBR5cKI
10,Not applicabl,4,4,https://openreview.net/forum?id=zEn1BhaNYsC,N0VRzPO6Ofv
8,Not applicabl,3,3,https://openreview.net/forum?id=zEn1BhaNYsC,TRnEZVAJHQ
8,Not applicabl,3,4,https://openreview.net/forum?id=zEn1BhaNYsC,0XFORg-Orb
8,Not applicabl,3,4,https://openreview.net/forum?id=zEn1BhaNYsC,rHOGdJ912f
10,Not applicabl,3,4,https://openreview.net/forum?id=zEn1BhaNYsC,v66IDkczqQ
6,3,2,4,https://openreview.net/forum?id=zDjtZZBZtqK,jrigT2DPxd1
8,4,3,3,https://openreview.net/forum?id=zDjtZZBZtqK,imOc7cY_Yme
5,2,2,2,https://openreview.net/forum?id=zDjtZZBZtqK,cO8X2lLtMo0
5,3,2,3,https://openreview.net/forum?id=zDjtZZBZtqK,WFlCaX9zPz6
8,3,2,3,https://openreview.net/forum?id=zDiHoIWa0q1,DVSEq4b-Sj
8,3,3,4,https://openreview.net/forum?id=zDiHoIWa0q1,hQW4UMkhmK
8,3,3,3,https://openreview.net/forum?id=zDiHoIWa0q1,TYmNC77FoZ
8,3,3,3,https://openreview.net/forum?id=zDiHoIWa0q1,6_6vdMDUFz
8,3,3,4,https://openreview.net/forum?id=zClyiZ5V6sL,qWmJLwSMCX
5,Not applicabl,2,4,https://openreview.net/forum?id=zClyiZ5V6sL,ZIAI-TYoh0T
8,4,4,4,https://openreview.net/forum?id=zClyiZ5V6sL,UXhu1ldwrv4
6,3,3,3,https://openreview.net/forum?id=zClyiZ5V6sL,zbo7ShwtKGO
6,3,3,3,https://openreview.net/forum?id=zAxuIJLb38,Hv9sFYvjR4W
6,3,2,3,https://openreview.net/forum?id=zAxuIJLb38,n5SXHe6iq8
6,4,3,3,https://openreview.net/forum?id=zAxuIJLb38,slGFo8_pOJ
5,3,2,4,https://openreview.net/forum?id=zAxuIJLb38,1G8CpoUVUxr
3,3,3,3,https://openreview.net/forum?id=zAbFj7FpD-C,i6xYlLGci1
3,1,2,3,https://openreview.net/forum?id=zAbFj7FpD-C,58JUXEBOHA
3,2,3,2,https://openreview.net/forum?id=zAbFj7FpD-C,qWlH5k5X2ed
5,2,2,2,https://openreview.net/forum?id=zAbFj7FpD-C,g8DIDgI0Ezk
5,2,2,4,https://openreview.net/forum?id=zA7hVj3rR19,JJJ6aIq1Az
8,4,3,3,https://openreview.net/forum?id=zA7hVj3rR19,13H6v_fJtie
5,2,3,3,https://openreview.net/forum?id=zA7hVj3rR19,sFg26mcrx2U
6,3,3,4,https://openreview.net/forum?id=zA7hVj3rR19,4QTwpAhF-Hv
8,4,3,3,https://openreview.net/forum?id=z9SIj-IM7tn,QRbjzpZvHr
6,3,2,4,https://openreview.net/forum?id=z9SIj-IM7tn,-sNAPTWPYh
8,4,4,4,https://openreview.net/forum?id=z9SIj-IM7tn,CVFx99xcQk
6,3,3,3,https://openreview.net/forum?id=z9SIj-IM7tn,_HMPl_5FMF
5,3,3,4,https://openreview.net/forum?id=z9C5dGip90,hPBfH_3VL9
8,3,4,3,https://openreview.net/forum?id=z9C5dGip90,E7CoN9vtWI
8,3,3,3,https://openreview.net/forum?id=z9C5dGip90,_n4KQD_Q9R
8,3,2,3,https://openreview.net/forum?id=z9C5dGip90,MJsjfVA0Ny
6,3,3,3,https://openreview.net/forum?id=z92lBy1ehjI,h1PoitVlUjJ
6,2,3,3,https://openreview.net/forum?id=z92lBy1ehjI,tDh3aUdy6lm
5,3,2,2,https://openreview.net/forum?id=z92lBy1ehjI,G50wibMXc-3
5,3,2,2,https://openreview.net/forum?id=z70d8UBFDKF,Rw9EPp3A7i6
5,2,4,2,https://openreview.net/forum?id=z70d8UBFDKF,CIW8ubOW-Uw
3,2,2,3,https://openreview.net/forum?id=z70d8UBFDKF,7thJ2JvCab
5,2,4,3,https://openreview.net/forum?id=z70d8UBFDKF,LLAD-DAG6b
6,2,3,3,https://openreview.net/forum?id=z70d8UBFDKF,UIVgreHoKZ
5,2,2,3,https://openreview.net/forum?id=z57WK5lGeHd,rJDhndHzRJ
6,3,3,3,https://openreview.net/forum?id=z57WK5lGeHd,-ge2vLhegsB
8,Not applicabl,4,3,https://openreview.net/forum?id=z57WK5lGeHd,JOzZI2LrR0a
5,2,3,3,https://openreview.net/forum?id=z4g0Vpf5Zki,X8ubqDN39M
5,2,2,3,https://openreview.net/forum?id=z4g0Vpf5Zki,1bHjF_x0JT
8,3,3,4,https://openreview.net/forum?id=z4g0Vpf5Zki,OWgQdrOfOJn
6,3,3,3,https://openreview.net/forum?id=z37tDDHHgi,QG7UxCfQSeJ
1,2,2,2,https://openreview.net/forum?id=z37tDDHHgi,y7dz2gIUvy
6,3,2,3,https://openreview.net/forum?id=z37tDDHHgi,Ss_mmvOHdGX
3,2,4,2,https://openreview.net/forum?id=z37tDDHHgi,T3tBNNsTC6Y
3,2,2,4,https://openreview.net/forum?id=z2kUV2XQBT2,taSAOyyjwD
5,3,3,3,https://openreview.net/forum?id=z2kUV2XQBT2,VXy6WE2Bia
6,3,3,4,https://openreview.net/forum?id=z2kUV2XQBT2,OcoKnAnNL_9
6,2,3,2,https://openreview.net/forum?id=z2kUV2XQBT2,y5-Ez9hYRz
6,3,3,3,https://openreview.net/forum?id=z289SIQOQna,vuQFruP9pj
8,3,4,3,https://openreview.net/forum?id=z289SIQOQna,k7cSoAiQnFi
8,3,3,4,https://openreview.net/forum?id=z289SIQOQna,_G2M2GHX1pr
6,3,4,4,https://openreview.net/forum?id=z289SIQOQna,4otcc3Rccl_
8,4,4,4,https://openreview.net/forum?id=z0_V5O9cmNw,k7eNIrzutS
6,2,3,4,https://openreview.net/forum?id=z0_V5O9cmNw,VHSYQGnHFDq
5,3,4,4,https://openreview.net/forum?id=z0_V5O9cmNw,iqMXi4T0-L
6,3,3,3,https://openreview.net/forum?id=z0_V5O9cmNw,qRajqbYZHf
5,2,2,2,https://openreview.net/forum?id=yzHn1QejdT4,AGhglDIu_zR
5,3,3,3,https://openreview.net/forum?id=yzHn1QejdT4,jGk7eAf_F2P
5,2,3,3,https://openreview.net/forum?id=yzHn1QejdT4,m5LsJ5UACuV
5,3,3,3,https://openreview.net/forum?id=yzE6LtZSHo,vVQ4xsJjEx
5,2,2,3,https://openreview.net/forum?id=yzE6LtZSHo,oWkw8T6nbyg
3,2,1,2,https://openreview.net/forum?id=yzE6LtZSHo,O065jk4_ln
6,3,3,3,https://openreview.net/forum?id=yzE6LtZSHo,WW0Y7a4QFU
1,1,1,2,https://openreview.net/forum?id=yyygh7OqdCQ,4QrO6BkKGy
6,2,2,4,https://openreview.net/forum?id=yyygh7OqdCQ,VjlMG-FrtZ
1,2,2,2,https://openreview.net/forum?id=yyygh7OqdCQ,FflvzBtYbmF
6,2,3,3,https://openreview.net/forum?id=yyygh7OqdCQ,kjVUj9TqQf
6,3,3,3,https://openreview.net/forum?id=yyLvxYBJV1B,jQFUMTrxfvD
6,3,3,3,https://openreview.net/forum?id=yyLvxYBJV1B,RQozMS2tkB0
8,3,3,3,https://openreview.net/forum?id=yyLvxYBJV1B,Ip88J8_xCb
6,2,3,3,https://openreview.net/forum?id=yyLvxYBJV1B,1tVF21HY2F
6,3,2,1,https://openreview.net/forum?id=yyBis80iUuU,QOIUyA3zUr
6,3,3,2,https://openreview.net/forum?id=yyBis80iUuU,3OhWr6rV5PY
8,3,3,4,https://openreview.net/forum?id=yyBis80iUuU,8Iu4HGlTC9d
6,2,2,3,https://openreview.net/forum?id=yyBis80iUuU,yEFH8y2QN
5,2,2,4,https://openreview.net/forum?id=yxj33c6NuX,B02wG_qNbId
6,2,3,3,https://openreview.net/forum?id=yxj33c6NuX,xzFzfQKraJ
3,1,2,3,https://openreview.net/forum?id=yxj33c6NuX,VoLiFZNbwA5
5,2,2,2,https://openreview.net/forum?id=ywAjQw-spmY,JSEdgGrfwoL
3,2,1,3,https://openreview.net/forum?id=ywAjQw-spmY,rrqC5ixTWaR
3,2,1,3,https://openreview.net/forum?id=ywAjQw-spmY,tRontlF9CdR
5,3,2,3,https://openreview.net/forum?id=ywAjQw-spmY,PhjhXtp-tV
5,2,3,2,https://openreview.net/forum?id=yvF7mAuWv3z,i945NFOZLrI
3,3,3,2,https://openreview.net/forum?id=yvF7mAuWv3z,aza6BlxQo0N
5,3,3,3,https://openreview.net/forum?id=yvF7mAuWv3z,KeJ6RKtzEY0
5,2,2,3,https://openreview.net/forum?id=yvF7mAuWv3z,osHzyoCC0h7
5,2,3,3,https://openreview.net/forum?id=ytuGu-E4cIl,8Uw-tq8926F
3,2,2,2,https://openreview.net/forum?id=ytuGu-E4cIl,MUVKYTqtte
5,2,2,3,https://openreview.net/forum?id=ytuGu-E4cIl,N_ztYvt0EGw
8,4,4,4,https://openreview.net/forum?id=ytZIYmztET,oBuHVn2jsl1
6,2,3,3,https://openreview.net/forum?id=ytZIYmztET,nKWAmCbTmXC
5,2,2,3,https://openreview.net/forum?id=ytZIYmztET,PyGHIPoK7d
6,2,3,3,https://openreview.net/forum?id=ytZIYmztET,-WiXeucSBqi
3,3,2,3,https://openreview.net/forum?id=ytNEuwH1yeL,9G2jFHB6Pw
5,2,2,3,https://openreview.net/forum?id=ytNEuwH1yeL,Jk5JG2K_lR_
5,3,2,3,https://openreview.net/forum?id=ytNEuwH1yeL,wGnTVGlgXN
1,1,1,2,https://openreview.net/forum?id=yqe0BZeN_xH,Gq-lGyVUipl
5,2,2,3,https://openreview.net/forum?id=yqe0BZeN_xH,41SuloVWaIQ
3,Not applicabl,2,2,https://openreview.net/forum?id=yqe0BZeN_xH,GVQab3adX0
5,2,2,3,https://openreview.net/forum?id=yqe0BZeN_xH,hfCsbeSxed
6,3,3,2,https://openreview.net/forum?id=ynD_LAMwar2,kh6ulGm9NO
3,2,2,2,https://openreview.net/forum?id=ynD_LAMwar2,YDUjO-J7l-J
3,3,3,3,https://openreview.net/forum?id=ynD_LAMwar2,mjIeOXWaau
6,2,2,4,https://openreview.net/forum?id=ynD_LAMwar2,ngNuUNivZj
8,4,3,3,https://openreview.net/forum?id=ymt1zQXBDiF,xTL3Ljf7Tp
6,3,3,3,https://openreview.net/forum?id=ymt1zQXBDiF,rIOz1J5CEW
6,3,3,3,https://openreview.net/forum?id=ymt1zQXBDiF,ysrtH4Dpse
6,3,2,3,https://openreview.net/forum?id=ymt1zQXBDiF,C3QvsvrpQ0
6,3,2,3,https://openreview.net/forum?id=ymFhZxw70uz,9gJMbXoYeLa
8,4,3,4,https://openreview.net/forum?id=ymFhZxw70uz,4ts3-JYbkd
8,4,4,4,https://openreview.net/forum?id=ymFhZxw70uz,GkdEZaxA7e
6,3,3,2,https://openreview.net/forum?id=ylMq8MBnAp,B4u6bCTAh0M
5,Not applicabl,2,2,https://openreview.net/forum?id=ylMq8MBnAp,qg41dIner1
6,3,3,3,https://openreview.net/forum?id=ylMq8MBnAp,Euid9tFIKif
3,1,1,2,https://openreview.net/forum?id=ylMq8MBnAp,Exns8KcqN4
6,3,3,3,https://openreview.net/forum?id=ylMq8MBnAp,BHQJ_5UTvu
6,3,3,4,https://openreview.net/forum?id=ykql_wKavL,DWXb_BH6xT
3,2,3,3,https://openreview.net/forum?id=ykql_wKavL,w9Vggcbjqb
5,2,2,3,https://openreview.net/forum?id=ykql_wKavL,s499bKQxJn0
10,4,3,4,https://openreview.net/forum?id=ykOpK9O5qYv,yCG3ucku9Q2
6,2,3,3,https://openreview.net/forum?id=ykOpK9O5qYv,OwlaMBhTAq
6,2,2,2,https://openreview.net/forum?id=ykOpK9O5qYv,ybZS7AHFdz
6,3,2,3,https://openreview.net/forum?id=ykOpK9O5qYv,t4uSYIdfoz
6,3,3,3,https://openreview.net/forum?id=yi4vd8VqROx,hYRXDGz1U2h
6,2,2,3,https://openreview.net/forum?id=yi4vd8VqROx,JGxhpoGtph
3,2,2,3,https://openreview.net/forum?id=yi4vd8VqROx,auc5AD74Jrd
3,2,2,2,https://openreview.net/forum?id=yhLVkvwUGtH,nH-ZhhHytK
5,2,2,2,https://openreview.net/forum?id=yhLVkvwUGtH,h1JuK04Mms8
5,3,2,2,https://openreview.net/forum?id=yhLVkvwUGtH,ya0aD20KKK
5,2,2,3,https://openreview.net/forum?id=yhLVkvwUGtH,yoguahGoUcM
3,2,2,2,https://openreview.net/forum?id=ygYXtbb3og3,skNrlE22y3
5,2,2,3,https://openreview.net/forum?id=ygYXtbb3og3,mxxWmcHBMvK
6,3,3,3,https://openreview.net/forum?id=ygYXtbb3og3,OQU6HolZ7R
6,2,2,4,https://openreview.net/forum?id=ygYXtbb3og3,-eH_0KaYuq
6,2,2,3,https://openreview.net/forum?id=ygN9NbyVkyy,mN9Csw6GCE
6,3,2,3,https://openreview.net/forum?id=ygN9NbyVkyy,htBMgFkApX
6,2,3,3,https://openreview.net/forum?id=ygN9NbyVkyy,mWHmcYIFkW
8,Not applicabl,3,3,https://openreview.net/forum?id=yf1icZHC-l9,wQmupTk4lu
6,3,3,3,https://openreview.net/forum?id=yf1icZHC-l9,F7T1p_uWam
3,2,2,3,https://openreview.net/forum?id=yf1icZHC-l9,p-W6D8p5yx0
8,3,4,4,https://openreview.net/forum?id=yf1icZHC-l9,KYDJb-eTCU
6,2,3,3,https://openreview.net/forum?id=ydv0gtW4WLU,cvAQ6pAgSx
5,2,4,3,https://openreview.net/forum?id=ydv0gtW4WLU,2WwBDSA_RIs
5,2,3,3,https://openreview.net/forum?id=ydv0gtW4WLU,XAivYkBov9C
5,2,3,3,https://openreview.net/forum?id=yc9xen7EAzd,MSaAtAyInI
5,3,2,3,https://openreview.net/forum?id=yc9xen7EAzd,Jgimg7IjjS1
3,2,2,3,https://openreview.net/forum?id=yc9xen7EAzd,ppbtFXJAOE
8,3,3,3,https://openreview.net/forum?id=yc9xen7EAzd,ou4FTigxcYp
5,3,2,3,https://openreview.net/forum?id=ybFkELZjuc,0AO-62KUMG
6,3,3,4,https://openreview.net/forum?id=ybFkELZjuc,n7Un4AKwt4L
