overall,soundness,presentation,contribution,PaperId
8,2,3,3,1606
6,3,3,3,1606
3,3,3,2,1406
6,3,2,3,1406
5,2,2,2,1406
5,3,3,3,1406
6,3,3,2,1610
3,1,3,2,163
5,3,3,2,1610
5,3,3,2,1610
8,4,3,3,1610
6,4,3,3,163
3,1,2,1,163
3,2,2,2,1697
6,2,3,3,1625
5,3,3,2,1697
5,2,2,2,1625
3,2,1,2,1697
6,3,3,2,1697
3,2,3,2,1625
6,4,3,3,1625
8,4,3,3,1694
3,3,3,2,1694
6,3,2,3,1694
8,4,4,4,1694
6,3,3,3,1730
6,3,3,3,1730
6,3,3,2,1730
5,3,3,2,1730
5,2,3,2,1119
5,2,2,3,1095
5,3,1,2,1119
3,2,2,2,1119
6,4,3,3,1095
8,3,2,2,1095
3,2,1,2,1119
5,2,3,2,1759
8,2,1,1,1759
3,2,1,1,1759
8,4,3,4,1759
1,1,2,1,178
3,1,2,1,178
3,2,2,1,178
3,3,2,2,1823
5,3,3,2,1823
6,3,3,3,1823
5,3,3,2,1823
6,4,3,3,1798
5,2,2,2,1798
5,3,3,2,1798
5,2,2,2,1798
6,3,3,3,1849
6,3,3,3,1849
5,3,3,3,1849
3,2,1,2,185
6,3,3,3,1849
5,2,2,2,1525
6,2,2,2,185
8,3,2,3,185
3,3,2,2,1525
3,2,1,2,185
8,4,3,4,1525
6,3,4,3,1875
5,2,3,3,1875
5,2,3,3,1875
5,3,3,2,1875
6,3,3,3,1097
8,4,3,3,1097
8,2,2,2,1097
6,3,3,3,1097
6,3,1,3,1872
6,3,3,3,1872
6,3,3,3,1872
6,3,3,2,1872
6,3,3,3,1896
6,2,4,3,1896
1,1,1,1,1907
6,3,4,3,1896
5,2,2,3,1907
3,2,3,1,1907
6,3,3,3,1922
8,4,3,4,1922
5,3,3,2,1921
6,3,3,3,1922
5,2,2,2,1921
6,3,3,3,1924
5,4,4,4,1922
3,3,4,2,1921
3,2,1,1,1921
5,2,2,2,1922
3,1,2,2,1924
8,3,3,3,1924
3,2,2,2,1914
5,2,2,2,1914
3,2,2,2,1914
3,1,2,3,1914
8,3,3,3,1941
6,2,2,3,1941
6,3,3,2,1941
6,2,2,2,1941
6,3,2,3,1895
6,3,2,3,1895
8,3,3,3,1895
5,2,2,2,1895
5,2,2,2,1806
6,3,3,3,1806
6,2,3,2,1806
3,2,3,2,1136
3,3,3,2,1136
8,3,2,3,1136
6,3,3,2,1136
3,2,2,2,1990
3,3,3,1,1990
5,3,3,2,1990
3,2,2,1,1990
5,2,3,2,2020
3,2,2,2,2031
5,3,2,2,2031
3,3,2,2,2020
3,2,2,2,2031
5,2,3,2,2020
5,2,3,2,2020
5,2,3,2,2031
5,2,3,3,2034
6,3,3,2,2034
6,4,2,3,2034
5,3,3,2,2055
5,3,3,2,2055
5,2,3,2,2055
5,3,2,1,2062
3,2,2,2,2062
3,2,2,2,2062
5,3,3,3,2055
5,2,2,2,2072
5,2,2,2,2072
5,3,3,2,2072
1,1,2,1,2072
6,3,3,3,2003
8,3,3,3,2003
6,3,3,2,2003
8,4,4,3,2003
3,1,2,1,2200
5,1,3,1,2200
6,3,2,3,2225
5,2,1,2,2225
5,3,3,2,2200
5,2,2,2,2225
6,3,3,3,2200
5,3,3,2,2225
5,2,3,2,216
5,2,2,2,216
5,2,3,2,216
5,3,3,1,216
3,2,1,1,2296
5,3,2,2,2279
3,3,2,2,2296
5,3,2,2,2296
3,2,2,1,2279
3,2,2,1,2279
3,2,2,2,2279
5,3,3,2,2296
3,3,1,1,2279
8,3,4,4,2303
8,3,4,4,2303
3,2,2,2,2303
6,3,3,2,2241
6,3,3,2,2241
8,4,3,3,2241
8,3,3,4,2303
6,3,3,3,2322
5,3,3,2,2322
8,4,2,3,2322
6,2,3,3,2322
8,4,4,2,2322
5,2,3,2,2320
5,2,2,3,2333
5,3,2,2,2320
3,2,1,2,2333
5,2,2,2,2333
6,3,3,3,2320
3,1,3,2,2320
5,2,2,2,2320
6,3,3,3,2333
3,1,2,2,209
6,3,3,3,2080
3,2,2,2,2131
3,2,3,1,2131
6,3,3,3,2080
3,3,2,3,209
6,3,3,3,209
6,3,3,3,2080
5,3,3,2,2080
6,2,4,3,209
3,2,2,2,2131
5,3,3,2,2131
3,2,4,2,2077
5,3,3,2,2077
5,3,3,2,2077
5,2,3,2,2077
6,2,3,2,2410
6,2,4,2,2410
6,3,3,3,2410
3,3,3,1,2430
5,4,4,2,2430
6,3,3,2,2430
6,3,4,3,2430
6,2,1,3,2444
8,4,3,3,2444
5,3,1,3,2444
3,2,3,2,2448
3,2,3,2,2448
3,2,3,2,2448
3,1,1,2,2494
3,3,1,2,2494
3,2,4,2,2512
3,1,2,1,2494
3,3,2,2,2512
3,2,2,2,2494
3,3,2,2,2512
3,2,3,2,2513
5,2,3,2,2538
3,2,2,2,2538
6,3,4,3,2513
8,3,3,3,2513
3,3,3,2,2513
3,3,2,2,2538
5,3,3,3,2538
5,2,2,2,2549
8,3,3,3,2546
3,2,2,2,2549
5,3,2,3,2546
3,2,2,2,2549
6,3,3,3,2546
5,2,2,2,2549
6,2,3,2,2546
6,3,2,3,2151
3,3,1,1,2151
3,2,2,2,2151
8,3,4,3,2576
6,4,3,4,2576
8,3,2,3,2576
8,3,3,3,2595
6,4,3,3,2576
3,2,3,2,2595
3,2,2,2,2595
5,3,2,2,2595
5,3,3,2,25
3,2,3,1,25
3,2,3,2,25
6,2,3,2,25
5,2,2,2,2613
8,4,3,3,2613
5,2,2,2,2624
3,2,1,2,2624
6,3,4,3,2613
5,3,3,2,2624
3,3,3,2,2613
5,3,3,2,2624
6,3,4,2,2669
6,3,3,3,2669
8,3,3,3,2669
6,3,3,3,2669
6,3,3,3,2688
6,3,3,3,2688
5,2,2,3,2585
3,2,2,2,2688
5,3,3,3,2688
6,3,3,3,2585
6,3,3,3,2585
6,3,2,3,2706
6,3,3,3,2691
8,3,3,3,2706
6,3,3,2,2691
6,3,3,3,2691
6,3,3,3,2691
5,3,3,3,2706
1,1,2,1,2749
3,2,3,2,2749
1,1,2,1,2749
3,3,3,2,2749
3,1,2,2,2769
3,2,3,2,2769
6,3,3,2,2769
3,3,3,2,2769
5,2,1,2,281
8,3,3,3,281
5,2,2,2,281
5,2,3,2,281
5,3,3,2,2174
3,2,1,1,2174
3,2,3,1,2174
1,1,1,2,2174
8,3,3,3,2796
10,4,4,4,2796
1,1,1,1,2829
6,3,4,2,2796
1,1,1,1,2829
3,2,2,2,2829
1,2,2,1,2829
3,2,2,2,2870
6,3,3,2,2870
6,3,2,2,2805
5,2,3,2,2805
8,3,3,3,2888
6,3,3,3,2888
6,3,3,2,2879
3,2,1,2,2805
8,2,3,2,2879
6,2,3,2,2879
5,2,3,3,2805
6,3,3,2,2879
3,2,2,1,2888
6,3,3,3,2870
6,3,1,2,2888
3,2,3,2,2805
8,3,4,3,2879
8,3,3,3,2870
3,2,3,2,2839
3,3,3,1,2839
3,2,2,2,2839
5,2,3,2,290
3,2,1,1,290
5,3,3,2,290
6,3,3,2,290
5,3,3,3,2931
5,2,3,2,2942
5,3,3,3,2942
5,2,3,2,2942
6,2,3,4,2942
6,3,3,2,2931
5,3,3,3,2931
8,3,3,3,2931
8,3,3,3,2941
8,3,2,3,2941
8,4,3,3,2941
5,2,3,2,2941
3,2,1,2,295
3,2,2,2,295
1,1,2,2,295
3,2,3,1,295
3,3,3,2,295
6,2,3,3,2972
5,2,3,2,2972
5,3,3,2,2972
5,2,2,2,2972
5,2,2,2,3003
5,3,3,2,3003
3,1,1,2,3003
3,2,1,1,3003
3,1,2,1,3020
5,2,2,2,3020
5,2,2,2,3020
6,3,2,3,2156
3,2,2,2,2186
8,4,4,4,2156
3,2,2,2,2186
5,3,3,2,2156
5,3,2,3,2186
5,2,3,2,2156
3,3,2,1,2186
5,3,3,2,3012
3,3,3,2,3012
3,3,2,2,3012
3,3,3,2,3012
5,2,3,2,308
5,2,3,2,308
6,2,3,2,2990
6,3,3,3,2990
8,3,4,3,308
8,4,3,4,308
6,3,3,3,2990
8,4,4,4,2990
6,2,2,2,3123
6,3,3,3,3123
6,3,3,3,3123
5,2,3,3,3123
6,3,3,3,3123
6,3,3,3,2989
6,3,3,3,2989
8,3,4,3,2989
6,3,3,3,324
6,3,3,3,324
6,3,3,3,3238
6,3,2,2,3238
5,3,3,2,324
6,3,3,3,3238
6,2,3,2,324
5,3,2,3,3245
8,4,3,3,3245
6,3,2,3,3245
8,4,4,4,3245
5,2,2,2,3271
3,2,1,2,3270
8,4,4,4,3270
6,3,3,3,3271
3,2,3,2,3271
3,2,2,2,3271
1,1,1,1,3270
5,2,2,3,328
5,2,3,2,328
3,3,3,2,328
5,2,3,2,328
3,3,3,2,328
5,2,2,2,3264
5,2,2,2,3264
6,3,3,3,3323
8,3,3,4,331
8,4,3,4,331
6,3,3,3,3323
8,4,3,4,3323
6,3,3,3,331
6,2,3,3,331
6,2,3,2,3323
5,2,3,2,3264
6,3,2,3,3327
6,2,3,2,3327
6,3,2,2,3327
8,3,2,3,3327
8,3,3,3,3232
6,3,4,3,3232
8,3,3,3,3232
5,3,2,2,3118
3,1,2,2,3118
5,4,4,2,3118
8,3,3,3,3118
5,3,3,2,3113
6,3,3,3,3113
6,3,3,3,3113
5,3,3,2,3113
3,2,1,2,3357
3,1,2,1,3357
3,2,2,2,3357
5,2,3,2,3372
6,3,4,3,3392
3,2,2,2,3392
3,1,1,1,3392
5,3,2,2,3372
5,3,3,2,3372
6,3,3,3,3377
6,3,3,3,3377
3,2,2,2,3377
5,2,2,2,3377
5,2,3,2,3412
3,2,3,1,3412
5,3,3,2,33
6,3,3,3,3412
3,1,3,2,3412
5,2,3,3,33
5,3,3,2,33
3,2,2,2,33
5,2,3,2,3446
6,2,3,2,3425
3,3,1,2,3446
6,4,3,3,3425
6,3,3,3,3425
8,3,3,3,3425
6,2,2,2,3425
3,2,1,2,3446
3,2,3,2,3446
3,2,3,2,3183
5,3,3,2,3183
3,1,2,2,3183
5,2,2,2,3475
3,1,2,1,3475
6,4,4,3,3475
6,3,3,3,3475
8,4,4,4,3521
6,3,3,4,3521
6,2,3,3,3521
5,1,2,1,3521
3,2,3,1,3551
3,2,2,2,3551
3,1,2,1,3551
5,2,2,2,3582
6,3,2,3,3582
5,3,3,3,3541
6,3,3,3,3582
3,2,3,3,3541
3,2,1,1,3541
5,2,2,2,3541
6,4,3,2,3618
6,3,3,2,3618
6,3,3,3,3618
5,3,2,2,3643
3,2,2,1,3643
6,3,3,3,3643
3,3,3,1,3643
3,2,2,2,3643
6,3,3,2,366
5,3,3,2,366
5,3,4,2,366
8,3,4,3,366
6,2,3,3,3764
3,3,3,1,3753
5,2,3,2,3753
5,3,3,3,3764
6,3,3,2,3764
5,3,3,2,3753
5,3,3,2,3755
6,2,3,2,3782
6,3,3,2,3782
5,4,3,3,3755
3,3,2,2,3755
8,3,3,3,3782
8,3,3,3,3782
6,3,2,3,3811
6,2,2,3,3811
3,2,2,2,3811
3,2,3,1,3825
3,2,3,2,3825
6,3,2,3,3849
6,3,3,2,3849
6,3,3,3,3849
1,1,1,1,3849
3,3,3,2,3849
8,4,4,3,3838
8,4,4,4,3838
3,1,3,2,3895
3,1,2,2,3895
6,3,3,2,3895
8,2,3,3,3838
3,2,3,2,3895
8,4,3,4,3838
3,2,3,2,3919
5,3,3,2,3919
3,1,2,2,3919
3,2,3,2,3919
5,4,3,2,3212
3,2,1,1,3212
5,4,3,2,3212
3,2,2,1,3212
3,3,2,2,3977
5,2,2,2,3977
8,4,4,3,3977
5,2,2,2,3977
6,3,3,3,3918
6,2,3,2,3918
6,3,3,2,3918
6,3,3,3,3976
6,3,3,3,3976
8,3,3,3,3976
8,3,2,3,3976
6,3,3,3,4008
5,3,3,2,3927
5,3,3,2,3927
6,3,3,3,4008
6,3,3,2,4008
5,2,3,2,3927
6,3,3,2,4008
8,3,3,2,3196
5,3,2,2,3197
5,3,3,2,3235
5,3,3,2,3197
5,3,3,2,3196
3,3,2,2,3235
1,2,1,2,3235
8,4,4,3,3196
5,2,3,2,3197
5,2,2,2,3197
3,2,2,1,3235
8,3,3,4,3958
8,3,3,3,3958
6,2,3,3,3958
8,3,4,3,3958
3,3,3,2,4027
3,3,2,2,4027
5,3,2,2,4027
3,2,2,1,4027
8,4,4,3,4114
10,4,4,4,4114
3,2,3,2,4114
1,2,1,1,3183
6,3,3,3,4137
5,3,2,3,4137
6,3,3,3,4137
5,2,2,3,4137
8,4,3,4,4288
6,4,3,4,4288
6,3,2,3,4288
6,3,3,3,4288
8,3,3,3,4302
8,4,3,4,4302
8,3,2,2,4302
6,4,3,3,4302
5,3,3,3,4325
3,3,3,2,4325
3,2,3,1,4325
5,2,3,2,4325
6,3,2,3,4117
6,3,4,3,4117
5,3,2,2,4117
8,4,3,3,4117
6,4,3,2,436
5,3,3,2,436
5,2,3,2,436
8,2,3,3,4366
3,2,2,2,4366
8,3,3,3,4374
5,2,2,3,4323
5,3,2,2,4374
6,3,3,2,4323
8,3,3,3,4366
8,3,3,3,4366
5,3,3,2,4323
8,4,4,4,4366
5,2,1,3,4374
6,3,2,2,4374
8,3,3,3,4343
5,2,2,2,4343
8,3,4,3,4343
5,3,3,2,4343
5,3,3,2,4410
5,3,2,3,4426
3,2,2,2,4426
5,2,2,2,4410
3,3,2,3,4410
3,2,2,3,4410
8,3,3,4,4426
1,1,1,1,4426
8,3,3,3,4441
6,2,3,2,4441
6,2,3,3,4441
6,3,3,3,4441
3,2,2,2,4445
3,2,3,2,4445
5,2,3,2,4445
1,1,2,2,4445
8,4,4,4,4151
6,3,3,2,4157
6,3,3,3,4157
8,4,4,4,4151
6,2,2,3,4157
5,2,3,2,4151
8,3,3,3,4151
6,3,4,3,4447
6,3,4,3,4447
5,1,3,3,4447
6,3,3,2,4447
5,3,2,3,4495
8,2,3,3,4482
6,3,3,2,4495
5,2,2,2,4495
5,3,2,2,4482
8,4,3,4,4482
6,3,2,3,418
8,3,3,3,418
6,3,3,2,418
5,2,3,2,4499
8,3,3,4,418
5,3,3,3,4499
3,1,2,1,4499
8,3,3,3,4516
5,2,2,2,4516
6,4,3,2,4516
5,2,3,2,4535
6,2,3,3,4535
8,4,3,3,4553
1,1,1,1,4553
1,2,2,1,4553
3,2,3,2,4535
3,3,2,1,4553
6,3,3,3,4535
3,2,2,1,4150
5,2,2,2,4150
3,2,2,2,4150
5,3,3,2,4551
3,1,1,1,4585
5,3,3,2,4551
6,3,2,3,4585
6,3,3,3,4585
3,3,3,2,4551
3,2,2,1,4585
5,3,2,3,4581
6,3,3,3,4589
8,3,3,2,4589
5,3,3,2,4581
6,3,3,3,4581
6,3,3,2,4589
6,3,3,2,4581
6,3,3,2,4589
6,2,3,3,4522
8,3,4,4,4617
5,3,3,3,4617
5,2,2,2,4617
6,2,3,3,4522
6,3,3,3,4522
3,2,2,1,4617
5,1,1,2,4522
6,3,3,3,4522
3,2,3,2,4625
3,1,3,1,4625
6,3,2,3,4625
3,2,3,2,4625
5,3,3,2,4625
5,2,3,2,466
3,2,3,2,466
6,3,3,2,466
5,3,4,3,466
6,4,4,3,4635
8,3,3,3,4635
8,4,4,4,4635
8,2,3,3,4634
8,2,3,2,4634
8,3,4,3,4635
5,2,2,3,4635
6,2,3,3,4634
5,2,3,3,4663
5,2,2,3,4663
3,2,2,2,4663
8,4,3,4,4699
6,2,3,2,4699
8,4,4,4,4699
5,2,3,2,4683
6,2,3,2,4683
5,3,3,3,4683
8,3,3,4,4683
6,3,3,3,4683
8,3,4,3,4737
6,2,4,3,4737
8,3,3,4,4737
6,2,3,2,4737
5,4,4,2,4776
3,1,3,2,4776
5,3,3,3,4776
6,3,2,3,4776
3,2,3,2,4758
3,2,3,2,4769
3,2,2,2,4769
5,3,3,2,4758
3,2,2,1,4769
6,3,3,3,4758
6,3,3,3,4769
8,4,4,3,4792
6,4,3,3,4792
6,3,3,2,4792
5,2,2,2,4821
6,3,3,3,4821
6,2,2,3,4821
6,3,3,3,4821
5,3,2,2,4760
8,3,3,3,4760
6,3,3,3,4760
5,2,2,2,4845
3,3,3,2,4845
6,3,3,3,4845
3,2,2,2,4868
6,3,2,2,4868
5,3,2,2,4868
8,3,3,3,4861
6,3,3,2,4861
6,2,3,2,4861
3,4,4,3,4868
5,3,3,2,4861
3,1,2,2,4880
5,3,2,2,4880
5,3,3,3,487
5,3,3,2,487
5,2,2,3,487
6,3,2,4,487
8,4,4,4,4880
5,2,2,3,487
6,2,2,2,4912
8,3,3,4,4912
8,3,3,3,4912
8,4,4,3,4131
6,2,3,3,4131
6,3,3,3,4131
6,3,3,3,4131
5,3,4,3,4940
3,2,2,1,4940
3,2,2,2,4933
3,2,2,2,4933
8,4,3,4,4940
5,2,2,3,4933
3,2,2,2,4940
3,2,1,1,4960
5,2,2,2,4960
6,3,2,3,4960
3,2,2,2,4960
3,2,2,2,4993
5,4,4,3,4993
6,3,3,2,4993
3,2,2,2,5002
3,3,2,2,5000
3,2,1,2,5000
1,2,1,2,5000
3,2,2,2,5002
6,3,3,2,5002
3,2,2,2,5000
6,3,3,3,5002
8,4,2,4,5012
5,2,3,3,5012
6,3,3,4,5012
6,3,3,2,5030
5,2,2,2,5030
3,2,2,2,5030
5,3,3,2,5030
8,3,3,3,5029
8,3,3,4,5029
8,4,4,4,5029
8,3,3,3,5029
6,3,3,3,5080
6,2,2,3,5080
6,3,2,4,5080
8,3,2,3,5104
8,4,4,4,5104
8,4,4,4,5104
6,2,3,2,5104
6,2,3,3,5036
5,3,3,2,5036
5,1,3,2,5036
8,3,2,2,5036
3,1,2,1,5139
3,2,3,2,5139
5,3,3,3,5139
3,2,3,3,5139
3,2,2,2,5139
3,2,2,2,420
3,2,2,2,420
3,3,3,2,420
5,3,2,2,420
8,3,4,3,5238
5,3,2,2,5238
6,3,2,3,5238
8,3,3,3,5234
6,3,3,3,5234
6,2,3,3,5234
3,3,3,2,5307
3,2,3,2,5307
5,3,2,2,5307
3,2,2,1,5307
6,3,3,3,5326
3,2,3,2,530
5,3,3,2,5326
3,2,2,2,5326
5,3,2,2,5326
6,3,3,3,530
5,2,2,3,530
8,4,3,3,530
3,2,2,1,5349
5,3,2,2,5342
5,3,3,3,5349
3,2,2,2,5342
6,3,3,3,5342
6,3,3,3,5342
6,3,3,3,5349
6,3,3,3,5349
6,3,3,3,5168
6,3,3,3,5168
5,2,3,2,5168
5,2,2,2,5168
6,3,2,2,535
6,2,2,2,535
6,3,2,3,535
8,3,3,3,535
1,1,1,1,5395
3,2,2,2,5395
1,1,1,1,5395
5,3,3,2,5374
8,3,4,3,5374
8,3,4,4,5374
8,3,3,3,5372
3,3,2,2,5421
3,2,2,2,5421
8,4,4,4,5372
5,2,3,2,5421
8,3,3,3,5372
5,2,1,2,5372
6,3,3,2,5421
5,2,3,2,5421
5,3,2,2,5372
6,3,2,3,541
5,3,2,3,541
3,3,4,2,5434
6,3,3,2,5453
5,3,3,2,5453
3,2,2,2,5453
3,2,2,2,5453
8,3,3,3,5434
5,3,3,2,5434
3,3,3,2,5434
8,4,3,4,5180
5,2,2,2,5180
6,3,2,3,5180
3,2,2,2,5180
8,3,3,3,5462
3,2,2,2,5462
5,2,3,2,5462
6,3,3,2,5462
6,3,3,3,5485
5,3,3,3,5504
8,4,3,4,5485
6,3,3,3,5485
5,2,3,2,5504
8,3,3,4,5485
5,2,3,2,5485
6,3,3,4,5504
3,1,2,1,5504
6,2,3,2,5476
8,3,3,3,5476
6,3,3,3,5476
6,2,3,2,5476
5,2,3,2,550
3,2,1,2,550
5,3,3,3,550
5,3,3,3,550
3,1,2,1,5534
3,2,2,1,5534
6,3,3,3,5534
5,3,4,2,5534
6,3,3,2,5529
8,3,3,3,5529
3,1,1,1,5546
6,3,3,2,5546
8,4,3,4,5529
3,3,3,2,5546
3,1,1,2,5546
6,3,3,2,5565
6,3,3,3,5565
5,2,2,2,5548
5,3,1,3,5548
5,2,1,2,5548
5,2,1,2,5548
6,3,3,3,5565
6,3,3,4,5565
3,2,1,2,5188
8,3,3,3,5188
3,2,3,2,5188
3,2,2,2,5582
6,3,3,2,5582
3,2,1,1,5582
3,2,1,1,5582
6,3,2,2,5627
6,3,3,2,5627
8,4,2,3,5597
6,3,2,2,5597
8,3,3,2,5597
6,3,2,2,5627
6,2,2,2,5627
6,3,3,3,5597
5,2,2,2,5188
6,3,3,3,5666
6,3,3,3,5666
3,2,3,2,5666
6,3,2,2,5666
5,4,3,2,5694
5,2,2,2,5694
3,2,2,2,5694
3,2,2,2,5694
5,3,3,2,5734
8,3,3,3,5734
3,2,3,2,5734
6,2,3,3,5734
3,2,2,2,5724
5,3,3,2,5724
5,2,3,2,5724
6,3,3,3,5724
5,3,2,3,5761
3,2,2,1,5761
3,1,1,2,5761
1,1,3,1,5761
5,2,2,2,5761
3,2,2,2,5796
5,2,1,2,5796
3,2,3,1,5796
5,3,2,2,5796
5,2,3,2,5203
6,3,3,3,5203
6,3,3,2,5203
6,3,3,2,5203
6,3,3,3,5186
5,1,3,2,5186
5,3,3,3,5186
3,3,3,3,5186
5,2,3,2,5789
6,3,3,2,5789
8,3,1,4,5789
8,3,3,3,5789
3,2,2,1,5736
8,4,3,3,5736
6,3,4,3,5736
5,3,3,2,5865
6,3,2,3,5838
5,3,3,2,5865
6,3,3,3,5838
8,4,4,3,5838
3,2,2,1,5865
5,3,2,2,5838
3,3,3,2,5865
3,2,1,1,5868
5,3,3,2,5868
3,2,3,2,5868
3,2,2,2,5893
5,3,3,2,5893
3,1,2,1,5893
3,3,2,1,5893
6,3,3,3,5892
6,3,3,2,5208
6,3,3,2,5208
6,3,3,3,5208
5,3,3,3,5892
6,3,3,3,5892
5,2,3,2,5892
3,2,2,2,5931
6,3,3,3,5931
8,3,3,3,5931
3,2,3,2,5931
8,4,4,3,5938
8,4,3,2,5938
6,4,4,2,5938
6,4,3,3,5938
8,4,3,4,5955
6,3,2,2,5955
6,4,3,3,594
6,3,3,3,5965
6,2,2,3,5965
8,3,2,3,5955
3,2,3,2,594
3,2,2,2,594
8,4,4,3,5955
6,3,2,3,5955
6,3,2,3,5965
5,1,1,2,5999
6,3,2,3,5999
8,3,3,3,5999
6,3,2,2,5999
5,3,3,3,6014
3,3,3,2,6014
3,2,3,2,6014
3,3,3,2,6014
8,4,3,3,5956
8,3,2,3,5956
8,2,3,3,5956
5,3,2,2,6033
3,2,1,2,6019
5,2,1,3,6019
3,2,2,2,6019
3,2,2,1,6019
5,4,2,3,6019
5,3,2,2,6033
3,2,3,2,6033
6,3,3,3,6033
8,4,3,3,6038
5,2,2,3,6038
3,3,3,1,6038
3,2,2,2,6038
6,3,3,3,6055
3,2,2,2,6055
3,3,2,2,6055
8,3,3,3,6055
5,3,3,2,6057
3,2,3,2,6057
5,2,3,2,6057
5,3,3,3,6057
5,1,3,2,6088
3,2,2,2,6088
3,2,2,1,6088
3,2,3,2,6088
6,3,4,3,6125
1,1,2,1,6125
3,2,2,1,6125
5,3,3,3,6125
3,3,2,2,5236
3,2,3,1,5236
5,2,2,2,5236
5,2,2,2,6131
3,2,2,2,6131
3,2,3,2,6117
5,2,2,2,6117
3,2,2,2,6117
3,3,2,2,6117
6,3,3,1,6131
3,2,2,2,6131
3,3,3,2,6214
3,2,3,2,6214
3,2,2,2,6214
3,2,2,2,6214
6,3,2,2,6308
5,3,3,2,6308
8,4,4,3,6308
5,3,3,3,6294
5,3,3,3,6308
5,3,3,2,6294
6,2,3,3,6294
6,3,2,3,6308
6,3,3,2,6294
8,3,3,3,6280
5,2,3,2,6280
5,3,3,2,6280
8,4,3,3,6280
3,3,4,1,6315
3,1,1,2,6315
10,4,3,3,62
8,2,3,1,62
3,3,4,1,6315
8,3,3,3,62
5,3,3,2,6315
8,3,4,2,62
8,3,3,3,635
6,3,3,3,635
8,3,4,3,635
8,3,3,3,6140
8,3,2,3,6140
6,3,4,2,6140
6,3,3,3,6359
6,3,3,2,6359
6,3,3,2,6359
6,3,3,3,6359
8,4,4,3,6288
6,2,3,2,631
8,3,3,3,631
5,3,3,2,6288
6,2,3,2,6288
6,3,3,3,6288
6,3,3,3,631
6,3,3,3,631
5,3,1,2,6398
3,3,2,2,6398
3,2,2,1,6398
5,3,3,2,6402
6,3,3,3,6402
8,4,4,3,6402
5,2,2,1,6402
3,1,1,2,648
5,3,3,3,648
6,3,3,2,6498
5,4,4,3,6498
6,3,3,2,6498
3,2,1,1,648
6,3,3,3,648
6,3,2,3,6505
8,3,4,4,6505
6,2,3,2,6505
6,3,3,2,6510
8,3,3,3,6510
8,3,4,2,6510
6,2,2,2,6505
8,3,3,3,6510
3,3,2,2,6541
1,1,1,1,651
8,2,2,3,651
6,3,3,3,6489
3,3,3,1,6541
6,3,3,2,6489
8,4,3,4,651
8,3,3,3,6489
5,2,3,2,6541
3,2,2,1,6541
6,4,4,3,651
6,3,3,3,6489
3,1,2,2,6528
5,3,2,2,6538
6,3,2,3,6528
3,2,3,2,6538
8,4,3,3,6538
5,3,3,3,6528
6,3,3,3,6538
5,3,2,2,6528
3,2,3,2,6548
3,1,1,2,6548
8,2,2,4,6555
5,2,2,1,6555
6,3,2,3,6555
5,2,2,2,6548
3,1,2,2,6548
6,2,3,2,6555
5,3,2,2,6582
5,3,3,2,6582
3,2,2,1,6582
