original row number,rating,soundness,presentation,contribution,updated rating,absolute difference,bias percentile
14485,8.0,2.0,2.0,2.0,4.14,3.86,99.84
17691,8.0,2.0,2.0,2.0,4.14,3.86,99.84
2371,8.0,2.0,2.0,2.0,4.14,3.86,99.84
16634,8.0,2.0,2.0,2.0,4.14,3.86,99.84
26762,8.0,2.0,2.0,2.0,4.14,3.86,99.84
11089,8.0,2.0,2.0,2.0,4.14,3.86,99.84
19860,8.0,2.0,2.0,2.0,4.14,3.86,99.84
24939,8.0,2.0,2.0,2.0,4.14,3.86,99.84
8280,8.0,2.0,2.0,2.0,4.14,3.86,99.84
30081,8.0,2.0,2.0,2.0,4.14,3.86,99.84
5793,8.0,2.0,2.0,2.0,4.14,3.86,99.84
30039,8.0,2.0,2.0,2.0,4.14,3.86,99.84
39301,8.0,2.0,2.0,2.0,4.14,3.86,99.84
37841,3.0,3.0,4.0,3.0,6.803,3.803,99.79
37673,3.0,3.0,4.0,3.0,6.803,3.803,99.79
31597,3.0,3.0,4.0,3.0,6.803,3.803,99.79
23168,3.0,3.0,4.0,3.0,6.803,3.803,99.79
23193,3.0,3.0,4.0,3.0,6.803,3.803,99.79
39130,3.0,3.0,4.0,3.0,6.803,3.803,99.79
5270,3.0,3.0,4.0,3.0,6.803,3.803,99.79
18573,3.0,3.0,4.0,3.0,6.803,3.803,99.79
31950,3.0,3.0,4.0,3.0,6.803,3.803,99.79
35234,3.0,3.0,4.0,3.0,6.803,3.803,99.79
35715,3.0,3.0,4.0,3.0,6.803,3.803,99.79
14670,3.0,3.0,4.0,3.0,6.803,3.803,99.79
18764,3.0,3.0,4.0,3.0,6.803,3.803,99.79
646,3.0,3.0,4.0,3.0,6.803,3.803,99.79
41272,8.0,3.0,1.0,2.0,4.215,3.785,99.77
7148,8.0,3.0,1.0,2.0,4.215,3.785,99.77
10159,8.0,3.0,1.0,2.0,4.215,3.785,99.77
45713,8.0,3.0,1.0,2.0,4.215,3.785,99.77
30285,1.0,2.0,4.0,2.0,4.667,3.667,99.76
14858,10.0,3.0,3.0,3.0,6.354,3.646,99.75
1347,10.0,3.0,3.0,3.0,6.354,3.646,99.75
5330,10.0,3.0,3.0,3.0,6.354,3.646,99.75
37697,10.0,3.0,3.0,3.0,6.354,3.646,99.75
18161,10.0,3.0,3.0,3.0,6.354,3.646,99.75
9149,10.0,3.0,3.0,3.0,6.354,3.646,99.75
11321,10.0,3.0,3.0,3.0,6.354,3.646,99.75
3366,10.0,3.0,3.0,3.0,6.354,3.646,99.75
23153,8.0,2.0,1.0,3.0,4.403,3.597,99.74
769,8.0,2.0,1.0,3.0,4.403,3.597,99.74
30643,8.0,2.0,1.0,3.0,4.403,3.597,99.74
4048,8.0,2.0,1.0,3.0,4.403,3.597,99.74
9291,8.0,2.0,1.0,3.0,4.403,3.597,99.74
44042,8.0,2.0,1.0,4.0,4.429,3.571,99.73
27471,1.0,2.0,3.0,2.0,4.531,3.531,99.71
38091,1.0,2.0,3.0,2.0,4.531,3.531,99.71
19075,1.0,2.0,3.0,2.0,4.531,3.531,99.71
17275,1.0,2.0,3.0,2.0,4.531,3.531,99.71
16711,1.0,2.0,3.0,2.0,4.531,3.531,99.71
29504,1.0,2.0,3.0,2.0,4.531,3.531,99.71
22961,1.0,2.0,3.0,2.0,4.531,3.531,99.71
2496,1.0,2.0,3.0,2.0,4.531,3.531,99.71
37222,1.0,2.0,3.0,2.0,4.531,3.531,99.71
674,1.0,2.0,3.0,2.0,4.531,3.531,99.71
24379,1.0,2.0,3.0,2.0,4.531,3.531,99.71
35004,1.0,2.0,3.0,2.0,4.531,3.531,99.71
28465,1.0,2.0,3.0,2.0,4.531,3.531,99.71
27850,1.0,2.0,3.0,2.0,4.531,3.531,99.71
40892,1.0,2.0,3.0,2.0,4.531,3.531,99.71
40490,1.0,2.0,3.0,2.0,4.531,3.531,99.71
32490,3.0,4.0,2.0,3.0,6.528,3.528,99.7
32180,3.0,4.0,2.0,3.0,6.528,3.528,99.7
27171,10.0,4.0,2.0,3.0,6.528,3.472,99.69
3126,8.0,2.0,3.0,2.0,4.531,3.469,99.64
14978,8.0,2.0,3.0,2.0,4.531,3.469,99.64
27693,8.0,2.0,3.0,2.0,4.531,3.469,99.64
14105,8.0,2.0,3.0,2.0,4.531,3.469,99.64
1300,8.0,2.0,3.0,2.0,4.531,3.469,99.64
9065,8.0,2.0,3.0,2.0,4.531,3.469,99.64
32281,8.0,2.0,3.0,2.0,4.531,3.469,99.64
35561,8.0,2.0,3.0,2.0,4.531,3.469,99.64
5948,8.0,2.0,3.0,2.0,4.531,3.469,99.64
41985,8.0,2.0,3.0,2.0,4.531,3.469,99.64
19089,8.0,2.0,3.0,2.0,4.531,3.469,99.64
43993,8.0,2.0,3.0,2.0,4.531,3.469,99.64
44179,8.0,2.0,3.0,2.0,4.531,3.469,99.64
615,8.0,2.0,3.0,2.0,4.531,3.469,99.64
17278,8.0,2.0,3.0,2.0,4.531,3.469,99.64
30463,8.0,2.0,3.0,2.0,4.531,3.469,99.64
39047,8.0,2.0,3.0,2.0,4.531,3.469,99.64
5244,8.0,2.0,3.0,2.0,4.531,3.469,99.64
40698,8.0,2.0,3.0,2.0,4.531,3.469,99.64
12301,8.0,2.0,3.0,2.0,4.531,3.469,99.64
30534,8.0,2.0,3.0,2.0,4.531,3.469,99.64
33296,8.0,2.0,3.0,2.0,4.531,3.469,99.64
46654,8.0,2.0,3.0,2.0,4.531,3.469,99.64
16533,8.0,2.0,3.0,2.0,4.531,3.469,99.64
13646,8.0,2.0,3.0,2.0,4.531,3.469,99.64
43591,8.0,2.0,3.0,2.0,4.531,3.469,99.64
34938,8.0,2.0,3.0,2.0,4.531,3.469,99.64
9792,8.0,2.0,3.0,2.0,4.531,3.469,99.64
43594,8.0,2.0,3.0,2.0,4.531,3.469,99.64
2533,8.0,2.0,3.0,2.0,4.531,3.469,99.64
25328,8.0,2.0,3.0,2.0,4.531,3.469,99.64
32817,8.0,2.0,3.0,2.0,4.531,3.469,99.64
32733,8.0,2.0,3.0,2.0,4.531,3.469,99.64
24106,8.0,2.0,3.0,2.0,4.531,3.469,99.64
29342,8.0,2.0,3.0,2.0,4.531,3.469,99.64
39992,8.0,2.0,3.0,2.0,4.531,3.469,99.64
14621,8.0,2.0,3.0,2.0,4.531,3.469,99.64
21067,8.0,2.0,3.0,2.0,4.531,3.469,99.64
11211,8.0,2.0,3.0,2.0,4.531,3.469,99.64
8166,8.0,2.0,3.0,2.0,4.531,3.469,99.64
35097,8.0,2.0,3.0,2.0,4.531,3.469,99.64
30311,8.0,2.0,3.0,2.0,4.531,3.469,99.64
35300,8.0,2.0,3.0,2.0,4.531,3.469,99.64
42343,8.0,2.0,3.0,2.0,4.531,3.469,99.64
18971,8.0,2.0,3.0,2.0,4.531,3.469,99.64
34836,1.0,2.0,1.0,4.0,4.429,3.429,99.59
41092,1.0,2.0,1.0,3.0,4.403,3.403,99.59
31650,1.0,2.0,1.0,3.0,4.403,3.403,99.59
12466,1.0,2.0,1.0,3.0,4.403,3.403,99.59
19881,1.0,2.0,1.0,3.0,4.403,3.403,99.59
43429,6.0,2.0,1.0,1.0,2.632,3.368,99.58
12890,6.0,2.0,1.0,1.0,2.632,3.368,99.58
32309,6.0,2.0,1.0,1.0,2.632,3.368,99.58
33262,6.0,2.0,1.0,1.0,2.632,3.368,99.58
42644,6.0,2.0,1.0,1.0,2.632,3.368,99.58
40255,6.0,1.0,2.0,1.0,2.637,3.363,99.57
44639,6.0,1.0,2.0,1.0,2.637,3.363,99.57
17196,6.0,1.0,2.0,1.0,2.637,3.363,99.57
3610,3.0,3.0,3.0,3.0,6.354,3.354,99.44
40664,3.0,3.0,3.0,3.0,6.354,3.354,99.44
30654,3.0,3.0,3.0,3.0,6.354,3.354,99.44
27983,3.0,3.0,3.0,3.0,6.354,3.354,99.44
30730,3.0,3.0,3.0,3.0,6.354,3.354,99.44
24488,3.0,3.0,3.0,3.0,6.354,3.354,99.44
11044,3.0,3.0,3.0,3.0,6.354,3.354,99.44
28746,3.0,3.0,3.0,3.0,6.354,3.354,99.44
43989,3.0,3.0,3.0,3.0,6.354,3.354,99.44
7713,3.0,3.0,3.0,3.0,6.354,3.354,99.44
1315,3.0,3.0,3.0,3.0,6.354,3.354,99.44
7725,3.0,3.0,3.0,3.0,6.354,3.354,99.44
24809,3.0,3.0,3.0,3.0,6.354,3.354,99.44
13850,3.0,3.0,3.0,3.0,6.354,3.354,99.44
13115,3.0,3.0,3.0,3.0,6.354,3.354,99.44
28552,3.0,3.0,3.0,3.0,6.354,3.354,99.44
10459,3.0,3.0,3.0,3.0,6.354,3.354,99.44
25630,3.0,3.0,3.0,3.0,6.354,3.354,99.44
4058,3.0,3.0,3.0,3.0,6.354,3.354,99.44
4071,3.0,3.0,3.0,3.0,6.354,3.354,99.44
44448,3.0,3.0,3.0,3.0,6.354,3.354,99.44
28319,3.0,3.0,3.0,3.0,6.354,3.354,99.44
40600,3.0,3.0,3.0,3.0,6.354,3.354,99.44
44473,3.0,3.0,3.0,3.0,6.354,3.354,99.44
22623,3.0,3.0,3.0,3.0,6.354,3.354,99.44
4087,3.0,3.0,3.0,3.0,6.354,3.354,99.44
10075,3.0,3.0,3.0,3.0,6.354,3.354,99.44
24378,3.0,3.0,3.0,3.0,6.354,3.354,99.44
29057,3.0,3.0,3.0,3.0,6.354,3.354,99.44
746,3.0,3.0,3.0,3.0,6.354,3.354,99.44
26711,3.0,3.0,3.0,3.0,6.354,3.354,99.44
13071,3.0,3.0,3.0,3.0,6.354,3.354,99.44
23191,3.0,3.0,3.0,3.0,6.354,3.354,99.44
12650,3.0,3.0,3.0,3.0,6.354,3.354,99.44
1041,3.0,3.0,3.0,3.0,6.354,3.354,99.44
45134,3.0,3.0,3.0,3.0,6.354,3.354,99.44
7187,3.0,3.0,3.0,3.0,6.354,3.354,99.44
26696,3.0,3.0,3.0,3.0,6.354,3.354,99.44
42254,3.0,3.0,3.0,3.0,6.354,3.354,99.44
5169,3.0,3.0,3.0,3.0,6.354,3.354,99.44
998,3.0,3.0,3.0,3.0,6.354,3.354,99.44
991,3.0,3.0,3.0,3.0,6.354,3.354,99.44
23731,3.0,3.0,3.0,3.0,6.354,3.354,99.44
3546,3.0,3.0,3.0,3.0,6.354,3.354,99.44
42504,3.0,3.0,3.0,3.0,6.354,3.354,99.44
42562,3.0,3.0,3.0,3.0,6.354,3.354,99.44
7451,3.0,3.0,3.0,3.0,6.354,3.354,99.44
11995,3.0,3.0,3.0,3.0,6.354,3.354,99.44
29402,3.0,3.0,3.0,3.0,6.354,3.354,99.44
24029,3.0,3.0,3.0,3.0,6.354,3.354,99.44
11652,3.0,3.0,3.0,3.0,6.354,3.354,99.44
43151,3.0,3.0,3.0,3.0,6.354,3.354,99.44
43263,3.0,3.0,3.0,3.0,6.354,3.354,99.44
43334,3.0,3.0,3.0,3.0,6.354,3.354,99.44
35149,3.0,3.0,3.0,3.0,6.354,3.354,99.44
9840,3.0,3.0,3.0,3.0,6.354,3.354,99.44
13941,3.0,3.0,3.0,3.0,6.354,3.354,99.44
35800,3.0,3.0,3.0,3.0,6.354,3.354,99.44
14040,3.0,3.0,3.0,3.0,6.354,3.354,99.44
1925,3.0,3.0,3.0,3.0,6.354,3.354,99.44
15972,3.0,3.0,3.0,3.0,6.354,3.354,99.44
3250,3.0,3.0,3.0,3.0,6.354,3.354,99.44
38221,3.0,3.0,3.0,3.0,6.354,3.354,99.44
15996,3.0,3.0,3.0,3.0,6.354,3.354,99.44
14767,3.0,3.0,3.0,3.0,6.354,3.354,99.44
19316,3.0,3.0,3.0,3.0,6.354,3.354,99.44
37670,3.0,3.0,3.0,3.0,6.354,3.354,99.44
14553,3.0,3.0,3.0,3.0,6.354,3.354,99.44
37669,3.0,3.0,3.0,3.0,6.354,3.354,99.44
37587,3.0,3.0,3.0,3.0,6.354,3.354,99.44
46197,3.0,3.0,3.0,3.0,6.354,3.354,99.44
34725,3.0,3.0,3.0,3.0,6.354,3.354,99.44
37388,3.0,3.0,3.0,3.0,6.354,3.354,99.44
9136,3.0,3.0,3.0,3.0,6.354,3.354,99.44
38289,3.0,3.0,3.0,3.0,6.354,3.354,99.44
32571,3.0,3.0,3.0,3.0,6.354,3.354,99.44
21084,3.0,3.0,3.0,3.0,6.354,3.354,99.44
1368,3.0,3.0,3.0,3.0,6.354,3.354,99.44
32472,3.0,3.0,3.0,3.0,6.354,3.354,99.44
39337,3.0,3.0,3.0,3.0,6.354,3.354,99.44
32427,3.0,3.0,3.0,3.0,6.354,3.354,99.44
6695,3.0,3.0,3.0,3.0,6.354,3.354,99.44
32413,3.0,3.0,3.0,3.0,6.354,3.354,99.44
18435,3.0,3.0,3.0,3.0,6.354,3.354,99.44
26129,3.0,3.0,3.0,3.0,6.354,3.354,99.44
32027,3.0,3.0,3.0,3.0,6.354,3.354,99.44
34689,3.0,3.0,3.0,3.0,6.354,3.354,99.44
38819,3.0,3.0,3.0,3.0,6.354,3.354,99.44
21602,3.0,3.0,3.0,3.0,6.354,3.354,99.44
15400,3.0,3.0,3.0,3.0,6.354,3.354,99.44
15239,3.0,3.0,3.0,3.0,6.354,3.354,99.44
16881,3.0,3.0,3.0,3.0,6.354,3.354,99.44
27221,3.0,3.0,3.0,3.0,6.354,3.354,99.44
33546,3.0,3.0,3.0,3.0,6.354,3.354,99.44
20135,3.0,3.0,3.0,3.0,6.354,3.354,99.44
36414,3.0,3.0,3.0,3.0,6.354,3.354,99.44
46398,3.0,3.0,3.0,3.0,6.354,3.354,99.44
22361,3.0,3.0,3.0,3.0,6.354,3.354,99.44
2247,3.0,3.0,3.0,3.0,6.354,3.354,99.44
18152,3.0,3.0,3.0,3.0,6.354,3.354,99.44
33404,3.0,3.0,3.0,3.0,6.354,3.354,99.44
242,3.0,3.0,3.0,3.0,6.354,3.354,99.44
17289,3.0,3.0,3.0,3.0,6.354,3.354,99.44
22316,3.0,3.0,3.0,3.0,6.354,3.354,99.44
31354,3.0,3.0,3.0,3.0,6.354,3.354,99.44
36940,3.0,3.0,3.0,3.0,6.354,3.354,99.44
33952,3.0,3.0,3.0,3.0,6.354,3.354,99.44
2803,3.0,3.0,3.0,3.0,6.354,3.354,99.44
37028,3.0,3.0,3.0,3.0,6.354,3.354,99.44
31409,3.0,3.0,3.0,3.0,6.354,3.354,99.44
37079,3.0,3.0,3.0,3.0,6.354,3.354,99.44
26870,3.0,3.0,3.0,3.0,6.354,3.354,99.44
19516,3.0,3.0,3.0,3.0,6.354,3.354,99.44
40430,3.0,3.0,3.0,3.0,6.354,3.354,99.44
18514,3.0,3.0,3.0,3.0,6.354,3.354,99.44
39849,3.0,3.0,3.0,3.0,6.354,3.354,99.44
16952,3.0,3.0,3.0,3.0,6.354,3.354,99.44
35865,3.0,3.0,3.0,3.0,6.354,3.354,99.44
40528,8.0,2.0,4.0,2.0,4.667,3.333,99.31
45374,8.0,2.0,4.0,2.0,4.667,3.333,99.31
42826,8.0,2.0,4.0,2.0,4.667,3.333,99.31
11023,1.0,3.0,1.0,2.0,4.215,3.215,99.3
34141,1.0,3.0,1.0,2.0,4.215,3.215,99.3
22449,1.0,3.0,1.0,2.0,4.215,3.215,99.3
8667,1.0,3.0,1.0,2.0,4.215,3.215,99.3
44620,10.0,3.0,2.0,4.0,6.794,3.206,99.3
14220,10.0,3.0,4.0,3.0,6.803,3.197,99.29
10465,10.0,3.0,4.0,3.0,6.803,3.197,99.29
37401,10.0,3.0,4.0,3.0,6.803,3.197,99.29
11263,10.0,3.0,4.0,3.0,6.803,3.197,99.29
42050,10.0,3.0,4.0,3.0,6.803,3.197,99.29
16750,10.0,3.0,4.0,3.0,6.803,3.197,99.29
38448,6.0,1.0,3.0,1.0,2.824,3.176,99.28
3443,6.0,1.0,3.0,1.0,2.824,3.176,99.28
20387,6.0,1.0,1.0,2.0,2.835,3.165,99.28
29500,1.0,2.0,2.0,2.0,4.14,3.14,99.23
30706,1.0,2.0,2.0,2.0,4.14,3.14,99.23
42898,1.0,2.0,2.0,2.0,4.14,3.14,99.23
42943,1.0,2.0,2.0,2.0,4.14,3.14,99.23
23170,1.0,2.0,2.0,2.0,4.14,3.14,99.23
10017,1.0,2.0,2.0,2.0,4.14,3.14,99.23
17347,1.0,2.0,2.0,2.0,4.14,3.14,99.23
8079,1.0,2.0,2.0,2.0,4.14,3.14,99.23
592,1.0,2.0,2.0,2.0,4.14,3.14,99.23
16369,1.0,2.0,2.0,2.0,4.14,3.14,99.23
7562,1.0,2.0,2.0,2.0,4.14,3.14,99.23
1459,1.0,2.0,2.0,2.0,4.14,3.14,99.23
32994,1.0,2.0,2.0,2.0,4.14,3.14,99.23
24291,1.0,2.0,2.0,2.0,4.14,3.14,99.23
20971,1.0,2.0,2.0,2.0,4.14,3.14,99.23
16607,1.0,2.0,2.0,2.0,4.14,3.14,99.23
6433,1.0,2.0,2.0,2.0,4.14,3.14,99.23
31818,1.0,2.0,2.0,2.0,4.14,3.14,99.23
30510,1.0,2.0,2.0,2.0,4.14,3.14,99.23
45651,1.0,2.0,2.0,2.0,4.14,3.14,99.23
35402,1.0,2.0,2.0,2.0,4.14,3.14,99.23
2592,1.0,2.0,2.0,2.0,4.14,3.14,99.23
13367,1.0,2.0,2.0,2.0,4.14,3.14,99.23
34975,1.0,2.0,2.0,2.0,4.14,3.14,99.23
28854,1.0,2.0,2.0,2.0,4.14,3.14,99.23
9450,1.0,2.0,2.0,2.0,4.14,3.14,99.23
4947,1.0,2.0,2.0,2.0,4.14,3.14,99.23
37223,1.0,2.0,2.0,2.0,4.14,3.14,99.23
23812,1.0,2.0,2.0,2.0,4.14,3.14,99.23
42439,1.0,2.0,2.0,2.0,4.14,3.14,99.23
22630,1.0,2.0,2.0,2.0,4.14,3.14,99.23
21174,1.0,2.0,2.0,2.0,4.14,3.14,99.23
22437,1.0,2.0,2.0,2.0,4.14,3.14,99.23
36221,1.0,2.0,2.0,2.0,4.14,3.14,99.23
23816,1.0,2.0,2.0,2.0,4.14,3.14,99.23
15065,1.0,2.0,2.0,2.0,4.14,3.14,99.23
1652,1.0,2.0,2.0,2.0,4.14,3.14,99.23
2240,1.0,2.0,2.0,2.0,4.14,3.14,99.23
13883,1.0,2.0,2.0,2.0,4.14,3.14,99.23
3732,1.0,2.0,2.0,2.0,4.14,3.14,99.23
31132,1.0,2.0,2.0,2.0,4.14,3.14,99.23
18963,1.0,2.0,2.0,2.0,4.14,3.14,99.23
21523,1.0,2.0,2.0,2.0,4.14,3.14,99.23
6325,1.0,2.0,2.0,2.0,4.14,3.14,99.23
7059,1.0,2.0,2.0,2.0,4.14,3.14,99.23
24864,1.0,2.0,2.0,2.0,4.14,3.14,99.23
1602,1.0,2.0,2.0,2.0,4.14,3.14,99.23
1461,3.0,2.0,3.0,4.0,6.133,3.133,99.17
10051,3.0,2.0,4.0,4.0,6.133,3.133,99.17
9261,3.0,2.0,4.0,4.0,6.133,3.133,99.17
8529,3.0,2.0,4.0,4.0,6.133,3.133,99.17
3521,8.0,3.0,2.0,2.0,4.872,3.128,99.11
13837,8.0,3.0,2.0,2.0,4.872,3.128,99.11
276,8.0,3.0,2.0,2.0,4.872,3.128,99.11
25622,8.0,3.0,2.0,2.0,4.872,3.128,99.11
6092,8.0,3.0,2.0,2.0,4.872,3.128,99.11
37169,8.0,3.0,2.0,2.0,4.872,3.128,99.11
44343,8.0,3.0,2.0,2.0,4.872,3.128,99.11
40058,8.0,3.0,2.0,2.0,4.872,3.128,99.11
40400,8.0,3.0,2.0,2.0,4.872,3.128,99.11
36720,8.0,3.0,2.0,2.0,4.872,3.128,99.11
36921,8.0,3.0,2.0,2.0,4.872,3.128,99.11
5717,8.0,3.0,2.0,2.0,4.872,3.128,99.11
36036,8.0,3.0,2.0,2.0,4.872,3.128,99.11
19612,8.0,3.0,2.0,2.0,4.872,3.128,99.11
10679,8.0,3.0,2.0,2.0,4.872,3.128,99.11
642,8.0,3.0,2.0,2.0,4.872,3.128,99.11
7684,8.0,3.0,2.0,2.0,4.872,3.128,99.11
33769,8.0,3.0,2.0,2.0,4.872,3.128,99.11
5966,8.0,3.0,2.0,2.0,4.872,3.128,99.11
14330,8.0,3.0,2.0,2.0,4.872,3.128,99.11
18379,8.0,3.0,2.0,2.0,4.872,3.128,99.11
25976,8.0,3.0,2.0,2.0,4.872,3.128,99.11
32474,8.0,3.0,2.0,2.0,4.872,3.128,99.11
6841,8.0,3.0,2.0,2.0,4.872,3.128,99.11
26493,8.0,3.0,2.0,2.0,4.872,3.128,99.11
5900,8.0,3.0,2.0,2.0,4.872,3.128,99.11
23205,8.0,3.0,2.0,2.0,4.872,3.128,99.11
1145,8.0,3.0,2.0,2.0,4.872,3.128,99.11
32514,8.0,3.0,2.0,2.0,4.872,3.128,99.11
42661,8.0,3.0,2.0,2.0,4.872,3.128,99.11
32483,8.0,3.0,2.0,2.0,4.872,3.128,99.11
23269,8.0,3.0,2.0,2.0,4.872,3.128,99.11
8142,8.0,3.0,2.0,2.0,4.872,3.128,99.11
6832,8.0,3.0,2.0,2.0,4.872,3.128,99.11
15624,8.0,3.0,2.0,2.0,4.872,3.128,99.11
12860,8.0,3.0,2.0,2.0,4.872,3.128,99.11
23424,8.0,3.0,2.0,2.0,4.872,3.128,99.11
29975,8.0,3.0,2.0,2.0,4.872,3.128,99.11
19261,8.0,3.0,2.0,2.0,4.872,3.128,99.11
42039,8.0,3.0,2.0,2.0,4.872,3.128,99.11
42049,8.0,3.0,2.0,2.0,4.872,3.128,99.11
39483,8.0,3.0,2.0,2.0,4.872,3.128,99.11
23927,8.0,3.0,2.0,2.0,4.872,3.128,99.11
5619,8.0,3.0,2.0,2.0,4.872,3.128,99.11
818,8.0,3.0,2.0,2.0,4.872,3.128,99.11
12599,8.0,3.0,2.0,2.0,4.872,3.128,99.11
8671,8.0,3.0,2.0,2.0,4.872,3.128,99.11
20612,8.0,3.0,2.0,2.0,4.872,3.128,99.11
34549,8.0,3.0,2.0,2.0,4.872,3.128,99.11
27373,8.0,3.0,2.0,2.0,4.872,3.128,99.11
43460,8.0,3.0,2.0,2.0,4.872,3.128,99.11
39573,8.0,3.0,2.0,2.0,4.872,3.128,99.11
14745,8.0,3.0,2.0,2.0,4.872,3.128,99.11
37900,8.0,3.0,2.0,2.0,4.872,3.128,99.11
18278,8.0,3.0,2.0,2.0,4.872,3.128,99.11
26840,8.0,3.0,2.0,2.0,4.872,3.128,99.11
20719,5.0,1.0,1.0,1.0,1.892,3.108,99.04
3266,5.0,1.0,1.0,1.0,1.892,3.108,99.04
12990,5.0,1.0,1.0,1.0,1.892,3.108,99.04
37392,5.0,1.0,1.0,1.0,1.892,3.108,99.04
